,Title,Summary,Fees/Payments,Languages,Website,Address,Email,Phone
0,3rd Street Youth Center and Clinic,"Provides mental health and substance abuse counseling. Staff has specialized training in the following areas: trauma, post-traumatic stress disorder, chronic stress, anxiety disorders, grief and loss, coping skills, and life adjustment issues.",No fees.,"English, Spanish",https://3rdstyouth.org/,"1728 Bancroft Avenue (@ 3rd Street) San Francisco, CA 94124",info@3rdstyouth.org,(415) 822-1707
1,Access Institute,"Offers low and no-fee psychological services (psychiatry, therapy, assessment, case management) to those who want and need psychological support, but aren’t able to access it for any number of reasons including income, cultural barriers, stigma around mental health, and lack of mobility. They also have an in-school mental health program and an elder program.",No fees; In-School Mental Health Program; Elder Program,English,https://www.accessinst.org/,"110 Gough Street, Suite 301, San Francisco, CA 94102",info@accessinst.org,(415)-861-5449
2,APA Family Support Services,"Provides domestic violence and child abuse prevention services. Specializes in providing culturally competent services for at-risk Asian and Pacific Islander children and their families. Strengthens families with a spectrum of services to prevent and, if necessary, treat problems that may occur due to stress, barriers, and challenges of language, finances, and lack of resources.","No fees; can self-refer or referrals from CBOs schools, hospitals, CPS; Parent Support (Prevention) which includes outreach and engagement, parenting education, support groups, health education, kinship support, Early Literacy, and Economic Self-Sufficiency Project; Home Visitation (Early Intervention) services are provided by bilingual and bicultural staff; Family Support Center located in Chinatown offers programs and services to support the growth and development of all family members – adults, youth and children; Confidential Counseling is available to families or individual family members; API Hotline is a resource to parents and youth in times of stress and crisis.","English, Cantonese, Mandarin, Tagalog, Vietnamese, Cambodian, Laotian, Thai, and Spanish",https://www.apafss.org/,"Chinatown Office: 10 Nottingham Place, San Francisco, CA 94133; Visitacion Valley Office: 1099 Sunnydale Avenue",info@apafss.org,(415) 617-0061; API Hotline: (415) 642-6850
3,Balboa Teen Health Center,"School-based clinic that provides comprehensive primary care, and medical, mental health and health education to youth ages 12 to 18.","No fee services; services are confidential and certain services don’t require parent/guardian permission unless noted; services that require parent/guardian permission are primary care, sports physicals, and mental health counseling","English, Spanish, Cantonese, Tagalog, Italian",https://www.sfdph.org/dph/comupg/oservices/medSvs/hlthCtrs/BalboaTeenHlthCtr.asp,"1000 Cayuga Avenue, Room 156 San Francisco, CA 94112",N/A,(415) 469-4512
4,Bayview Hunters Point Foundation Youth Services,"Offers outpatient mental health treatment, medication support, case management, and outreach services for child and adolescent residents of San Francisco. It also provides substance use services for individuals 18 and older who need assistance with ceasing heroin use and those at risk for HIV infection. It also offers housing assistance by helping individuals develop goals that support self-determination, self-sufficiency, and re-entry into the community where they can lead productive lives.","Sliding scale, Medi-Cal accepted, referrals to other treatments and social services are also available; Mental Health Services, Substance Use Disorder Services, Residential and Homeless Services","English, Chinese, Spanish",https://bayviewci.org,"150 Executive Park Boulevard, Suite 2800, San Francisco, CA 94134",info@bayviewci.org,(415) 822-1585
5,Boys & Girls Clubs of San Francisco,"BGCSF’s Behavioral Health Services are child-centered, trauma-informed, culturally-competent support services embedded in the afterschool, youth development framework that enhances the child’s social and emotional well-being by improving their developmental assets and increasing each participant’s protective factors.","Serves youth ages 6 to 18; youth must be willing to become members of Boys & Girls Clubs of San Francisco, which costs approximately $20 per school year. There is no additional out-of-pocket cost to the family; however, it is requested for the family's consent to bill funders on their behalf.","English, Spanish",https://www.kidsclub.org/,"380 Fulton Street, San Francisco, CA 94102",see website for email info,(415) 221-2389
6,Cameron House,"Specializes in providing culturally competent services for Asian Americans. Offers Individual, couples, and family counseling services. Issue areas include marital, familial, and other relationship problems, the impact of domestic violence, emotional and mental health issues, acculturation challenges, and difficulties adjusting to various life changes and stressors.",Sliding scale fees.,"English, Cantonese, and Mandarin",https://cameronhouse.org/,"920 Sacramento Street San Francisco, CA 94108",info@cameronhouse.org,(415) 781-0401
7,Center for Youth Wellness,"Offers care coordination/case management, psychotherapy, psychiatry, biology and neurology feedback, and individual and family therapy. It aims to improve the health of children and adolescents exposed to adverse childhood experiences.","There are no fee services, and they must be referred through Bayview Child Health Center.","English, Spanish, and offers other interpreters for no cost.",https://centerforyouthwellness.org/,"3450 Third Street Building 2, Suite 201 San Francisco, CA 94124-1444",info@centerforyouthwellness.org,(415) 684-9520
8,Child and Adolescent Support Advocacy and Resource Center,"Provides trauma-focused psychotherapy for individuals, groups, and families, including children and adolescents (up to age 18) who have been sexually or physically abused or who have witnessed severe violence. Forensic medical and crisis management services are available 24 hours a day.","No fee services; community outreach and education, fact/expert testifying, psychiatry services (including medication), crisis intervention and critical incident debriefing, forensic medical exams/evidence collection for sexual assault or abuse, forensic interviews","English, Spanish and offers other interpreters for other languages.",https://www.sfserviceguide.org/organizations/28,"995 Potrero Avenue San Francisco, CA 94110",N/A,(415) 206-8386; For non-emergency situations or advice involving adults: (628) 437-3000
9,Chinatown Child Development Center,"Offers individual, group, and family psychotherapy; collateral contacts with parents and significant others; case management services; psychological testing for registered clients; medication support services; school-based services; consultation to preschools, schools, and community-based organizations; and referrals and linkages to appropriate community resources as needed. Also offers parent support groups and parenting education workshops on early intervention for their children.","Accepts Medi-Cal, Healthy Families/Health Kids, and sliding fees. Intake workers available by phone or in-person","English, Cantonese, and Vietnamese.",https://sfserviceguide.org/organizations/214,"720 Sacramento St, San Francisco, CA 94108",info@chineseamericancf.org,(415) 392-4453
